timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
4381,0.09,-0.07,1.03,5.10,-5.58,-4.40
4402,0.06,-0.07,0.97,5.78,3.10,-5.27
4423,0.13,-0.02,1.03,4.82,3.44,-5.81
4434,0.11,0.00,1.03,6.04,2.21,-5.78
4455,0.16,0.02,1.10,2.77,-0.02,-1.73
4475,0.10,0.01,1.03,-0.08,-2.53,0.02
4496,0.13,-0.02,1.03,-0.13,-4.10,1.17
4517,0.09,0.01,1.03,-0.26,-4.34,0.72
4538,0.10,-0.02,0.97,-1.16,-7.13,0.72
4559,0.09,0.01,0.97,-1.87,-6.07,-0.31
4579,0.10,-0.00,0.97,2.30,-3.83,-1.86
4600,0.09,0.02,1.03,0.31,-1.92,-2.27
4621,0.08,-0.03,1.03,-0.15,-3.76,-3.14
4642,0.10,0.01,0.97,-1.40,-2.16,-2.56
4662,0.08,-0.00,0.97,0.32,-2.20,-5.56
4683,0.11,-0.00,1.03,0.82,1.12,-5.17
4694,0.14,0.05,1.03,-3.93,-1.01,-4.10
4715,0.08,0.09,1.10,-21.17,-1.23,-3.94
4736,-0.09,0.02,1.22,-52.25,-29.62,-21.84
4756,-0.11,-0.37,-0.54,-105.24,-65.56,-47.74
4777,0.36,-0.18,0.84,-21.89,29.54,-21.91
4798,0.18,-0.03,1.28,21.98,31.52,7.99
4819,0.08,-0.08,1.28,-0.78,15.50,23.55
4840,0.02,-0.15,1.22,-10.36,-2.85,17.09
4860,0.09,-0.05,1.10,-11.18,-5.23,10.72
4881,0.07,-0.05,1.10,2.88,4.52,9.06
4902,0.18,0.00,0.84,37.24,-14.97,7.90
4923,0.07,-0.17,0.84,21.73,6.39,18.50
4943,0.08,-0.07,1.10,27.30,7.25,12.80
4954,0.05,-0.07,1.10,15.32,8.65,11.68
4975,0.14,-0.06,1.03,9.88,3.53,4.43


